"exp_table$target_id","Coculture_01_N","Coculture_02_N","Coculture_03_N","Coculture_04_N","Ecoli_01_N","Ecoli_02_N","Ecoli_03_N","Ecoli_04_N"
"ABRP41_RS00010__ABRP41_RS00010_m00_1227",NA,NA,NA,NA,NA,NA,NA,NA
"mubX__ABRP41_RS00015_m00_1839",NA,NA,NA,NA,NA,NA,NA,NA
"mubY__ABRP41_RS00020_m00_2545",NA,NA,NA,NA,NA,NA,NA,NA
"tnpA__ABRP41_RS00025/pseudo_m00_5138",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00030__ABRP41_RS00030_m00_6243",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00040/pseudo__ABRP41_RS00040/pseudo_m00_7647",NA,NA,NA,NA,NA,NA,NA,NA
"mubX__ABRP41_RS00055_m00_10869",NA,NA,NA,NA,NA,NA,NA,NA
"mubY__ABRP41_RS00060_m00_11575",NA,NA,NA,NA,NA,NA,NA,NA
"mubT__ABRP41_RS00065_m00_13910",NA,NA,NA,NA,NA,NA,NA,NA
"mubE__ABRP41_RS00070_m00_14641",NA,NA,NA,NA,NA,NA,NA,NA
"mubG__ABRP41_RS00075_m00_16557",NA,NA,NA,NA,NA,NA,NA,NA
"mubH__ABRP41_RS00080_m00_17780",NA,NA,NA,NA,NA,NA,NA,NA
"mubA__ABRP41_RS00085_m00_21179",NA,NA,NA,NA,NA,NA,NA,NA
"mubB__ABRP41_RS00090_m00_29372",NA,NA,NA,NA,NA,NA,NA,NA
"mubC__ABRP41_RS00095_m00_33061",NA,NA,NA,NA,NA,NA,NA,NA
"mubD__ABRP41_RS00100_m00_38045",NA,NA,NA,NA,NA,NA,NA,NA
"mubZ__ABRP41_RS00105_m00_42440",NA,NA,NA,NA,NA,NA,NA,NA
"mubM__ABRP41_RS00110_m00_43686",NA,NA,NA,NA,NA,NA,NA,NA
"mubI__ABRP41_RS00115_m00_44464",NA,NA,NA,NA,NA,NA,NA,NA
"mubJ__ABRP41_RS00120_m00_45415",NA,NA,NA,NA,NA,NA,NA,NA
"mubP__ABRP41_RS00125_m00_46426",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00135/pseudo__ABRP41_RS00135/pseudo_m00_47766",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00140/pseudo__ABRP41_RS00140/pseudo_m00_49045",NA,NA,NA,NA,NA,NA,NA,NA
"queG__ABRP41_RS00145_m00_50287",NA,NA,NA,NA,NA,NA,NA,NA
"prfB__ABRP41_RS00150_m00_51461",NA,NA,NA,NA,NA,NA,NA,NA
"ftsE__ABRP41_RS00155_m00_52578",NA,NA,NA,NA,NA,NA,NA,NA
"ftsX__ABRP41_RS00160_m00_53263",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00170__ABRP41_RS00170_m00_55084",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00175__ABRP41_RS00175_m00_55992",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00180__ABRP41_RS00180_m00_57312",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00185__ABRP41_RS00185_m00_58629",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00190__ABRP41_RS00190_m00_58820",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00195__ABRP41_RS00195_m00_59160",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00200__ABRP41_RS00200_m00_59893",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00210__ABRP41_RS00210_m00_61850",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00215__ABRP41_RS00215_m00_64378",NA,NA,NA,NA,NA,NA,NA,NA
"asnS__ABRP41_RS00220_m00_65606",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00225__ABRP41_RS00225_m00_67464",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00230__ABRP41_RS00230_m00_68585",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00235__ABRP41_RS00235_m00_69093",NA,NA,NA,NA,NA,NA,NA,NA
"rapZ__ABRP41_RS00240_m00_69844",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00245__ABRP41_RS00245_m00_70731",NA,NA,NA,NA,NA,NA,NA,NA
"whiA__ABRP41_RS00250_m00_71705",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00255__ABRP41_RS00255_m00_72982",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00260__ABRP41_RS00260_m00_74606",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00265__ABRP41_RS00265_m00_76287",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00270__ABRP41_RS00270_m00_77096",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00275__ABRP41_RS00275_m00_77436",NA,NA,NA,NA,NA,NA,NA,NA
"add__ABRP41_RS00295_m00_80008",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00300__ABRP41_RS00300_m00_81116",NA,NA,NA,NA,NA,NA,NA,NA
"sufB__ABRP41_RS00305_m00_81719",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00310__ABRP41_RS00310_m00_83523",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00315__ABRP41_RS00315_m00_84246",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00320__ABRP41_RS00320_m00_84508",NA,NA,NA,NA,NA,NA,NA,NA
