"exp_table$target_id","Coculture_01_M","Coculture_02_M","Coculture_03_M","Coculture_04_M","SMutans_01_M","SMutans_02_M","SMutans_03_M","SMutans_04_M"
"ABRP41_RS00010__ABRP41_RS00010_m00_1227",0,0,0,0,0,0,0,0
"mubX__ABRP41_RS00015_m00_1839",0,0,0,0,0,0,0,0
"mubY__ABRP41_RS00020_m00_2545",0,0,0,0,0,0,0,0
"tnpA__ABRP41_RS00025/pseudo_m00_5138",0,0,0,0,0,0,0,0
"ABRP41_RS00030__ABRP41_RS00030_m00_6243",0,0,0,0,15220.5,0,0,38759.4
"ABRP41_RS00040/pseudo__ABRP41_RS00040/pseudo_m00_7647",0,0,0,0,0,0,0,0
"mubX__ABRP41_RS00055_m00_10869",0,0,0,0,0,0,0,0
"mubY__ABRP41_RS00060_m00_11575",0,0,0,0,0,0,0,0
"mubT__ABRP41_RS00065_m00_13910",0,0,0,0,0,0,0,0
"mubE__ABRP41_RS00070_m00_14641",0,0,0,0,0,0,0,0
"mubG__ABRP41_RS00075_m00_16557",0,0,0,0,0,0,0,0
"mubH__ABRP41_RS00080_m00_17780",0,0,0,0,0,0,0,2657.86
"mubA__ABRP41_RS00085_m00_21179",0,0,0,0,0,0,0,517.568
"mubB__ABRP41_RS00090_m00_29372",0,0,0,0,0,0,0,0
"mubC__ABRP41_RS00095_m00_33061",0,0,0,0,0,986.795,0,0
"mubD__ABRP41_RS00100_m00_38045",0,0,0,0,0,0,1347.06,999.404
"mubZ__ABRP41_RS00105_m00_42440",0,0,0,0,0,0,0,0
"mubM__ABRP41_RS00110_m00_43686",0,0,0,0,0,0,0,0
"mubI__ABRP41_RS00115_m00_44464",0,0,0,0,0,0,0,0
"mubJ__ABRP41_RS00120_m00_45415",0,0,0,0,0,6243.05,0,0
"mubP__ABRP41_RS00125_m00_46426",0,0,0,0,0,0,0,0
"ABRP41_RS00135/pseudo__ABRP41_RS00135/pseudo_m00_47766",0,0,0,0,0,0,0,0
"ABRP41_RS00140/pseudo__ABRP41_RS00140/pseudo_m00_49045",0,0,0,0,0,0,0,0
"queG__ABRP41_RS00145_m00_50287",0,0,0,0,0,0,0,0
"prfB__ABRP41_RS00150_m00_51461",0,0,0,0,0,0,0,0
"ftsE__ABRP41_RS00155_m00_52578",0,0,0,0,0,0,0,0
"ftsX__ABRP41_RS00160_m00_53263",0,0,0,0,0,0,0,0
"ABRP41_RS00170__ABRP41_RS00170_m00_55084",0,0,0,0,0,0,0,8403.76
"ABRP41_RS00175__ABRP41_RS00175_m00_55992",0,0,0,0,0,0,0,0
"ABRP41_RS00180__ABRP41_RS00180_m00_57312",0,0,0,0,0,0,0,0
"ABRP41_RS00185__ABRP41_RS00185_m00_58629",0,0,0,0,0,0,0,0
"ABRP41_RS00190__ABRP41_RS00190_m00_58820",0,0,0,0,0,0,0,0
"ABRP41_RS00195__ABRP41_RS00195_m00_59160",0,0,0,0,0,0,0,0
"ABRP41_RS00200__ABRP41_RS00200_m00_59893",0,0,0,0,0,0,0,0
"ABRP41_RS00210__ABRP41_RS00210_m00_61850",0,0,0,0,0,0,0,0
"ABRP41_RS00215__ABRP41_RS00215_m00_64378",0,0,0,0,0,0,0,0
"asnS__ABRP41_RS00220_m00_65606",0,0,0,0,0,0,0,0
"ABRP41_RS00225__ABRP41_RS00225_m00_67464",0,0,0,0,0,0,0,0
"ABRP41_RS00230__ABRP41_RS00230_m00_68585",0,0,0,0,0,0,0,0
"ABRP41_RS00235__ABRP41_RS00235_m00_69093",0,0,0,0,0,0,0,0
"rapZ__ABRP41_RS00240_m00_69844",0,0,0,0,7760.52,0,0,0
"ABRP41_RS00245__ABRP41_RS00245_m00_70731",0,0,0,0,0,0,0,0
"whiA__ABRP41_RS00250_m00_71705",0,0,0,0,0,0,0,0
"ABRP41_RS00255__ABRP41_RS00255_m00_72982",0,0,0,0,0,0,0,0
"ABRP41_RS00260__ABRP41_RS00260_m00_74606",0,0,0,0,0,0,0,0
"ABRP41_RS00265__ABRP41_RS00265_m00_76287",0,0,0,0,0,0,0,0
"ABRP41_RS00270__ABRP41_RS00270_m00_77096",0,0,0,0,0,0,0,0
"ABRP41_RS00275__ABRP41_RS00275_m00_77436",0,0,0,0,0,0,0,0
"add__ABRP41_RS00295_m00_80008",0,0,0,0,0,0,0,0
"ABRP41_RS00300__ABRP41_RS00300_m00_81116",0,0,0,0,0,0,0,0
"sufB__ABRP41_RS00305_m00_81719",0,0,0,0,0,0,5036.23,3700.83
"ABRP41_RS00310__ABRP41_RS00310_m00_83523",0,0,0,0,0,0,0,0
"ABRP41_RS00315__ABRP41_RS00315_m00_84246",0,0,0,0,0,0,0,0
"ABRP41_RS00320__ABRP41_RS00320_m00_84508",0,0,0,0,0,0,0,0
"ABRP41_RS00325__ABRP41_RS00325_m00_85814",0,0,0,0,0,0,0,0
