"exp_table$target_id","Coculture_01_M","Coculture_02_M","Coculture_03_M","Coculture_04_M","SMutans_01_M","SMutans_02_M","SMutans_03_M","SMutans_04_M"
"ssrA__ABRP41_RS00760_m00_162518",NA,NA,NA,NA,797194,1e+06,1e+06,917439
"ABRP41_RS00005/pseudo__ABRP41_RS00005_m00_rc_734",NA,NA,NA,NA,0,0,0,0
"ABRP41_RS00010__ABRP41_RS00010_m00_1227",NA,NA,NA,NA,0,0,0,0
"mubX__ABRP41_RS00015_m00_1839",NA,NA,NA,NA,0,0,0,0
"mubY__ABRP41_RS00020_m00_2545",NA,NA,NA,NA,0,0,0,0
"tnpA__ABRP41_RS00025_m00_5138",NA,NA,NA,NA,0,0,0,0
"ABRP41_RS00030__ABRP41_RS00030_m00_6243",NA,NA,NA,NA,202806,0,0,82561.5
"ABRP41_RS00035/pseudo__ABRP41_RS00035_m00_rc_7559",NA,NA,NA,NA,0,0,0,0
"ABRP41_RS00040/pseudo__ABRP41_RS00040_m00_7647",NA,NA,NA,NA,0,0,0,0
"ABRP41_RS00045/pseudo__ABRP41_RS00045_m00_rc_9755",NA,NA,NA,NA,0,0,0,0
"mubR__ABRP41_RS00050_m00_rc_10516",NA,NA,NA,NA,0,0,0,0
"ssrA__HW372_RS06065_rc_1254631",NA,NA,NA,NA,NA,NA,NA,NA
"dnaA__HW372_RS00005_1",NA,NA,NA,NA,NA,NA,NA,NA
"dnaN__HW372_RS00010_1409",NA,NA,NA,NA,NA,NA,NA,NA
"recF__HW372_RS00015_2509",NA,NA,NA,NA,NA,NA,NA,NA
"gyrB__HW372_RS00020_3611",NA,NA,NA,NA,NA,NA,NA,NA
"yidB__HW372_RS00025_6265",NA,NA,NA,NA,NA,NA,NA,NA
"yidA__HW372_RS00030_6778",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00035__HW372_RS00035_rc_8290",NA,NA,NA,NA,NA,NA,NA,NA
"dgoR__HW372_RS00040_8569",NA,NA,NA,NA,NA,NA,NA,NA
"dgoK__HW372_RS00045_9255",NA,NA,NA,NA,NA,NA,NA,NA
"dgoA__HW372_RS00050_10117",NA,NA,NA,NA,NA,NA,NA,NA
"dgoD__HW372_RS00055_10731",NA,NA,NA,NA,NA,NA,NA,NA
"dgoT__HW372_RS00060_11954",NA,NA,NA,NA,NA,NA,NA,NA
"cbrA__HW372_RS00065_rc_14352",NA,NA,NA,NA,NA,NA,NA,NA
"yidR__HW372_RS00070_14453",NA,NA,NA,NA,NA,NA,NA,NA
"yidQ__HW372_RS00075_rc_16001",NA,NA,NA,NA,NA,NA,NA,NA
"ibpA__HW372_RS00080_16307",NA,NA,NA,NA,NA,NA,NA,NA
"ibpB__HW372_RS00085_16832",NA,NA,NA,NA,NA,NA,NA,NA
"yidE__HW372_RS00090_17457",NA,NA,NA,NA,NA,NA,NA,NA
"yidL__HW372_RS00095_rc_20074",NA,NA,NA,NA,NA,NA,NA,NA
"yidK__HW372_RS00100_20241",NA,NA,NA,NA,NA,NA,NA,NA
"yidJ__HW372_RS00105_21953",NA,NA,NA,NA,NA,NA,NA,NA
"yidH__HW372_RS00110_23506",NA,NA,NA,NA,NA,NA,NA,NA
"yidG__HW372_RS00115_23843",NA,NA,NA,NA,NA,NA,NA,NA
"yidF__HW372_RS00120_24202",NA,NA,NA,NA,NA,NA,NA,NA
"emrD__HW372_RS00125_rc_25891",NA,NA,NA,NA,NA,NA,NA,NA
"ysdE__HW372_RS00130_25973",NA,NA,NA,NA,NA,NA,NA,NA
"ivbL__HW372_RS00135_26292",NA,NA,NA,NA,NA,NA,NA,NA
"ilvB__HW372_RS00140_26496",NA,NA,NA,NA,NA,NA,NA,NA
"ilvN__HW372_RS00145_28188",NA,NA,NA,NA,NA,NA,NA,NA
"HW372_RS00150__HW372_RS00150_rc_29529",NA,NA,NA,NA,NA,NA,NA,NA
"uhpA__HW372_RS00155_29944",NA,NA,NA,NA,NA,NA,NA,NA
"uhpB__HW372_RS00160_30534",NA,NA,NA,NA,NA,NA,NA,NA
"uhpC__HW372_RS00165_32046",NA,NA,NA,NA,NA,NA,NA,NA
