"exp_table$target_id","Coculture_01_N","Coculture_02_N","Coculture_03_N","Coculture_04_N","Ecoli_01_N","Ecoli_02_N","Ecoli_03_N","Ecoli_04_N"
"ssrA__ABRP41_RS00760_m00_162518",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00005/pseudo__ABRP41_RS00005_m00_rc_734",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00010__ABRP41_RS00010_m00_1227",NA,NA,NA,NA,NA,NA,NA,NA
"mubX__ABRP41_RS00015_m00_1839",NA,NA,NA,NA,NA,NA,NA,NA
"mubY__ABRP41_RS00020_m00_2545",NA,NA,NA,NA,NA,NA,NA,NA
"tnpA__ABRP41_RS00025_m00_5138",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00030__ABRP41_RS00030_m00_6243",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00035/pseudo__ABRP41_RS00035_m00_rc_7559",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00040/pseudo__ABRP41_RS00040_m00_7647",NA,NA,NA,NA,NA,NA,NA,NA
"ABRP41_RS00045/pseudo__ABRP41_RS00045_m00_rc_9755",NA,NA,NA,NA,NA,NA,NA,NA
"mubR__ABRP41_RS00050_m00_rc_10516",NA,NA,NA,NA,NA,NA,NA,NA
"ssrA__HW372_RS06065_rc_1254631",217151,248068,230722,231431,168818,156320,174565,165873
"dnaA__HW372_RS00005_1",0,0,0,0,0,0,0,0
"dnaN__HW372_RS00010_1409",0,0,0,0,0,0,0,0
"recF__HW372_RS00015_2509",0,0,0,0,0,0,0,0
"gyrB__HW372_RS00020_3611",0,0,0,0,0,0,0,0
"yidB__HW372_RS00025_6265",0,0,0,0,0,0,0,0
"yidA__HW372_RS00030_6778",0,0,0,0,0,0,0,0
"HW372_RS00035__HW372_RS00035_rc_8290",0,0,0,0,0,0,0,0
"dgoR__HW372_RS00040_8569",0,0,0,0,0,0,0,0
"dgoK__HW372_RS00045_9255",0,0,0,0,0,0,0,0
"dgoA__HW372_RS00050_10117",0,0,0,0,0,0,0,0
"dgoD__HW372_RS00055_10731",0,0,0,0,0,0,0,0
"dgoT__HW372_RS00060_11954",0,0,0,0,0,0,0,0
"cbrA__HW372_RS00065_rc_14352",0,0,0,0,0,0,0,0
"yidR__HW372_RS00070_14453",0,0,0,0,0,0,0,0
"yidQ__HW372_RS00075_rc_16001",0,0,0,0,0,0,0,0
"ibpA__HW372_RS00080_16307",6968.23,13598.9,0,3171.72,0,0,0,0
"ibpB__HW372_RS00085_16832",3362.58,0,3255.15,12244.3,0,0,0,0
"yidE__HW372_RS00090_17457",0,0,0,0,0,0,0,0
"yidL__HW372_RS00095_rc_20074",0,0,0,0,0,0,0,0
"yidK__HW372_RS00100_20241",0,0,0,0,0,0,0,0
"yidJ__HW372_RS00105_21953",0,0,0,0,0,0,0,0
"yidH__HW372_RS00110_23506",0,0,0,0,0,0,0,0
"yidG__HW372_RS00115_23843",0,0,0,0,0,0,0,0
"yidF__HW372_RS00120_24202",0,0,0,0,0,0,0,0
"emrD__HW372_RS00125_rc_25891",0,0,0,0,0,0,0,0
"ysdE__HW372_RS00130_25973",0,0,0,0,0,0,0,0
"ivbL__HW372_RS00135_26292",0,0,0,0,0,0,0,0
"ilvB__HW372_RS00140_26496",0,0,0,0,0,0,0,0
"ilvN__HW372_RS00145_28188",0,0,0,0,0,0,0,0
"HW372_RS00150__HW372_RS00150_rc_29529",0,0,0,0,0,0,0,0
"uhpA__HW372_RS00155_29944",0,0,0,0,0,0,0,0
"uhpB__HW372_RS00160_30534",0,0,0,0,0,0,0,0
"uhpC__HW372_RS00165_32046",0,0,0,0,0,0,0,0
"uhpT__HW372_RS00170_33503",0,0,0,0,0,0,0,0
"adeD__HW372_RS00175_rc_36707",0,0,0,0,0,0,0,0
"adeQ__HW372_RS00180_36882",0,0,0,0,0,0,0,0
"yicN__HW372_RS00185_38269",0,0,0,0,0,0,0,0
"nepI__HW372_RS00190_38932",0,0,0,0,0,0,0,0
"yicS__HW372_RS00195_rc_40456",0,0,0,0,0,0,0,0
"nlpA__HW372_RS00200_40678",0,0,0,0,0,0,0,0
"yicL__HW372_RS00205_rc_42423",0,0,0,0,0,0,0,0
"HW372_RS00210__HW372_RS00210_rc_43087",0,0,0,0,0,0,0,0
"HW372_RS00215__HW372_RS00215_rc_44155",0,0,0,0,0,0,0,0
"HW372_RS00220__HW372_RS00220_rc_45383",0,0,0,0,0,0,0,0
"HW372_RS00225__HW372_RS00225_rc_45727",0,0,0,0,0,0,0,0
"HW372_RS00230__HW372_RS00230_rc_46903",0,0,0,0,1430.8,1300.78,0,1355.63
"HW372_RS00235__HW372_RS00235_rc_47349",0,0,0,0,0,0,0,0
"HW372_RS00240__HW372_RS00240_rc_47715",0,0,0,0,0,0,0,0
"radC__HW372_RS00245_rc_48188",0,0,0,0,0,0,0,0
"HW372_RS00250__HW372_RS00250_rc_49032",0,0,0,0,0,0,0,0
"HW372_RS00255__HW372_RS00255_rc_50221",0,0,0,0,0,0,0,0
"HW372_RS00260__HW372_RS00260_50814",0,0,0,0,0,0,0,0
"HW372_RS00265__HW372_RS00265_51546",0,0,0,0,0,0,0,0
"HW372_RS00270__HW372_RS00270_rc_52751",0,0,0,0,0,0,0,0
"HW372_RS00275__HW372_RS00275_rc_53776",0,0,0,0,0,0,0,0
"HW372_RS00280__HW372_RS00280_rc_54499",0,0,0,0,0,0,0,0
"HW372_RS00285__HW372_RS00285_54953",0,0,0,0,0,0,0,0
"HW372_RS00290__HW372_RS00290_56043",0,0,0,0,0,0,0,0
"HW372_RS00295__HW372_RS00295_56531",0,0,0,0,1867.55,0,0,0
"HW372_RS00300__HW372_RS00300_58396",0,0,0,0,0,0,0,0
"HW372_RS00305__HW372_RS00305_58911",0,0,0,0,0,0,0,0
"HW372_RS00310__HW372_RS00310_rc_61646",0,0,0,0,0,0,0,0
"HW372_RS00315__HW372_RS00315_rc_62041",0,0,0,0,0,0,0,0
"yicJ__HW372_RS00320_62334",0,0,0,0,0,0,0,0
"yicI__HW372_RS00325_63726",0,0,0,0,0,0,0,0
"HW372_RS00330__HW372_RS00330_66327",0,0,0,0,0,0,0,0
"HW372_RS00335__HW372_RS00335_67907",0,0,0,0,0,0,0,0
"HW372_RS00340__HW372_RS00340_68395",0,0,0,0,0,0,0,0
"HW372_RS00345__HW372_RS00345_68734",0,0,0,0,0,0,0,0
"HW372_RS00350__HW372_RS00350_69837",0,0,0,0,0,0,0,0
"HW372_RS00355__HW372_RS00355_70769",0,0,0,0,0,0,0,0
"HW372_RS00360__HW372_RS00360_71677",0,0,0,0,0,0,0,0
"HW372_RS00365__HW372_RS00365_72590",0,0,0,0,0,0,0,0
"yicH__HW372_RS00370_rc_75023",0,0,0,0,0,0,0,0
"xanP__HW372_RS00375_rc_76535",0,0,0,0,0,0,0,0
"gltS__HW372_RS00380_76815",0,0,0,0,0,0,0,0
"recG__HW372_RS00385_rc_80135",0,0,0,0,0,0,0,0
"trmH__HW372_RS00390_rc_80830",0,0,0,0,0,0,0,0
"spoT__HW372_RS00395_rc_82945",0,0,0,0,0,0,0,0
"rpoZ__HW372_RS00400_rc_83239",0,0,0,0,0,0,0,0
"gmk__HW372_RS00405_rc_83917",0,0,0,0,0,0,0,0
"ligB__HW372_RS00410_84175",0,0,0,0,0,0,0,0
"yicG__HW372_RS00415_rc_86471",0,0,0,0,0,0,0,0
"dinD__HW372_RS00420_rc_87587",0,0,0,0,0,0,0,0
"yicC__HW372_RS00425_rc_88672",0,0,0,0,0,1794.02,0,0
"rph__HW372_RS00430_88799",0,0,0,0,0,0,0,0
"pyrE__HW372_RS00435_89581",0,0,0,0,0,0,0,0
"slmA__HW372_RS00440_rc_90855",0,0,0,0,0,0,0,0
"dut__HW372_RS00445_rc_91420",0,0,0,0,0,0,0,0
"coaBC__HW372_RS00450_rc_92618",0,0,0,0,0,0,0,0
"radC__HW372_RS00455_92790",0,0,0,0,0,0,0,0
"rpmB__HW372_RS00460_93675",0,0,0,0,0,0,0,0
"rpmG__HW372_RS00465_93932",0,0,0,0,0,0,0,0
"mutM__HW372_RS00470_94197",0,0,0,0,0,0,0,0
"coaD__HW372_RS00475_rc_95524",0,0,0,0,0,0,0,0
"waaA__HW372_RS00480_rc_96809",0,0,0,0,0,0,0,0
