target_id	length	eff_length	est_counts	tpm
ssrA__HW372_RS06065_rc_1254631	363	127.074	90	687133
dnaA__HW372_RS00005_1	1404	1162.17	0	0
dnaN__HW372_RS00010_1409	1101	859.167	0	0
recF__HW372_RS00015_2509	1074	832.167	0	0
gyrB__HW372_RS00020_3611	2415	2173.17	0	0
yidB__HW372_RS00025_6265	399	162.022	0	0
yidA__HW372_RS00030_6778	813	571.167	0	0
HW372_RS00035__HW372_RS00035_rc_8290	657	418.321	0	0
dgoR__HW372_RS00040_8569	690	448.167	0	0
dgoK__HW372_RS00045_9255	879	637.167	0	0
dgoA__HW372_RS00050_10117	618	379.321	0	0
dgoD__HW372_RS00055_10731	1149	907.167	0	0
dgoT__HW372_RS00060_11954	1338	1096.17	0	0
cbrA__HW372_RS00065_rc_14352	1101	859.167	0	0
yidR__HW372_RS00070_14453	1215	973.167	0	0
yidQ__HW372_RS00075_rc_16001	333	100.313	0	0
ibpA__HW372_RS00080_16307	414	177.022	0	0
ibpB__HW372_RS00085_16832	429	192.022	1	5052.47
yidE__HW372_RS00090_17457	1662	1420.17	0	0
yidL__HW372_RS00095_rc_20074	867	625.167	0	0
yidK__HW372_RS00100_20241	1716	1474.17	0	0
yidJ__HW372_RS00105_21953	1494	1252.17	0	0
yidH__HW372_RS00110_23506	348	112.925	0	0
yidG__HW372_RS00115_23843	363	127.074	0	0
yidF__HW372_RS00120_24202	498	259.321	0	0
emrD__HW372_RS00125_rc_25891	1185	943.167	0	0
ysdE__HW372_RS00130_25973	75	76	0	0
ivbL__HW372_RS00135_26292	99	6	0	0
ilvB__HW372_RS00140_26496	1689	1447.17	0	0
ilvN__HW372_RS00145_28188	291	77.7885	0	0
HW372_RS00150__HW372_RS00150_rc_29529	861	619.167	0	0
uhpA__HW372_RS00155_29944	591	352.321	0	0
uhpB__HW372_RS00160_30534	1503	1261.17	0	0
uhpC__HW372_RS00165_32046	1320	1078.17	0	0
uhpT__HW372_RS00170_33503	1392	1150.17	0	0
adeD__HW372_RS00175_rc_36707	1767	1525.17	0	0
adeQ__HW372_RS00180_36882	1335	1093.17	0	0
yicN__HW372_RS00185_38269	453	216.022	0	0
nepI__HW372_RS00190_38932	1191	949.167	0	0
yicS__HW372_RS00195_rc_40456	294	79.2925	0	0
nlpA__HW372_RS00200_40678	819	577.167	0	0
yicL__HW372_RS00205_rc_42423	924	682.167	0	0
HW372_RS00210__HW372_RS00210_rc_43087	498	259.321	0	0
HW372_RS00215__HW372_RS00215_rc_44155	387	150.022	0	0
HW372_RS00220__HW372_RS00220_rc_45383	606	367.321	0	0
HW372_RS00225__HW372_RS00225_rc_45727	222	51.1765	0	0
HW372_RS00230__HW372_RS00230_rc_46903	1192	950.167	0	0
HW372_RS00235__HW372_RS00235_rc_47349	426	189.022	0	0
HW372_RS00240__HW372_RS00240_rc_47715	336	102.553	0	0
radC__HW372_RS00245_rc_48188	474	235.321	0	0
HW372_RS00250__HW372_RS00250_rc_49032	815	573.167	0	0
HW372_RS00255__HW372_RS00255_rc_50221	954	712.167	0	0
HW372_RS00260__HW372_RS00260_50814	615	376.321	0	0
HW372_RS00265__HW372_RS00265_51546	219	48.1765	0	0
HW372_RS00270__HW372_RS00270_rc_52751	786	544.167	0	0
HW372_RS00275__HW372_RS00275_rc_53776	1014	772.167	0	0
HW372_RS00280__HW372_RS00280_rc_54499	684	442.167	0	0
HW372_RS00285__HW372_RS00285_54953	1101	859.167	0	0
HW372_RS00290__HW372_RS00290_56043	486	247.321	0	0
HW372_RS00295__HW372_RS00295_56531	1827	1585.17	0	0
HW372_RS00300__HW372_RS00300_58396	198	36.4	0	0
HW372_RS00305__HW372_RS00305_58911	1326	1084.17	0	0
HW372_RS00310__HW372_RS00310_rc_61646	1212	970.167	0	0
yicJ__HW372_RS00320_62334	1383	1141.17	0	0
yicI__HW372_RS00325_63726	2319	2077.17	0	0
HW372_RS00330__HW372_RS00330_66327	1554	1312.17	0	0
HW372_RS00335__HW372_RS00335_67907	471	232.321	0	0
HW372_RS00340__HW372_RS00340_68395	315	88.6967	0	0
HW372_RS00345__HW372_RS00345_68734	1092	850.167	0	0
HW372_RS00350__HW372_RS00350_69837	852	610.167	0	0
HW372_RS00355__HW372_RS00355_70769	861	619.167	0	0
HW372_RS00360__HW372_RS00360_71677	933	691.167	0	0
HW372_RS00365__HW372_RS00365_72590	681	439.167	0	0
yicH__HW372_RS00370_rc_75023	1710	1468.17	0	0
xanP__HW372_RS00375_rc_76535	1392	1150.17	0	0
gltS__HW372_RS00380_76815	1206	964.167	0	0
recG__HW372_RS00385_rc_80135	2082	1840.17	0	0
trmH__HW372_RS00390_rc_80830	690	448.167	0	0
spoT__HW372_RS00395_rc_82945	2109	1867.17	0	0
rpoZ__HW372_RS00400_rc_83239	276	68.5521	0	0
gmk__HW372_RS00405_rc_83917	624	385.321	0	0
ligB__HW372_RS00410_84175	1683	1441.17	0	0
yicG__HW372_RS00415_rc_86471	618	379.321	0	0
dinD__HW372_RS00420_rc_87587	825	583.167	0	0
yicC__HW372_RS00425_rc_88672	864	622.167	0	0
rph__HW372_RS00430_88799	717	475.167	0	0
pyrE__HW372_RS00435_89581	642	403.321	0	0
slmA__HW372_RS00440_rc_90855	597	358.321	0	0
dut__HW372_RS00445_rc_91420	459	222.022	0	0
coaBC__HW372_RS00450_rc_92618	1221	979.167	0	0
radC__HW372_RS00455_92790	669	430.321	0	0
rpmB__HW372_RS00460_93675	237	57.4167	0	0
rpmG__HW372_RS00465_93932	168	26.3182	0	0
mutM__HW372_RS00470_94197	810	568.167	0	0
coaD__HW372_RS00475_rc_95524	480	241.321	0	0
waaA__HW372_RS00480_rc_96809	1278	1036.17	0	0
rfaQ__HW372_RS00485_97222	1059	817.167	0	0
waaG__HW372_RS00490_98277	1125	883.167	0	0
rfaP__HW372_RS00495_99394	798	556.167	0	0
waaO__HW372_RS00500_100207	1017	775.167	0	0
HW372_RS00505__HW372_RS00505_101240	996	754.167	0	0
rfaY__HW372_RS00510_102245	693	451.167	0	0
HW372_RS00515__HW372_RS00515_102963	1029	787.167	0	0
HW372_RS00520__HW372_RS00520_104073	984	742.167	0	0
HW372_RS00525__HW372_RS00525_105102	1254	1012.17	0	0
rfaC__HW372_RS00530_rc_107405	981	739.167	0	0
rfaF__HW372_RS00535_rc_108455	1047	805.167	0	0
rfaD__HW372_RS00540_rc_109397	933	691.167	0	0
kbl__HW372_RS00545_109611	1197	955.167	0	0
tdh__HW372_RS00550_110817	1026	784.167	0	0
waaH__HW372_RS00555_112081	1035	793.167	0	0
yibQ__HW372_RS00560_rc_114061	960	718.167	0	0
envC__HW372_RS00565_rc_115324	1260	1018.17	0	0
gpmM__HW372_RS00570_rc_116902	1545	1303.17	0	0
yibN__HW372_RS00575_117147	432	195.022	0	0
grxC__HW372_RS00580_117719	252	59.9067	0	0
secB__HW372_RS00585_118034	468	231.022	0	0
gpsA__HW372_RS00590_118501	1020	778.167	0	0
cysE__HW372_RS00595_119600	822	580.167	0	0
trmL__HW372_RS00600_rc_120949	474	235.321	0	0
lldD__HW372_RS00605_rc_122187	1191	949.167	0	0
lldR__HW372_RS00610_rc_122960	777	535.167	0	0
lldP__HW372_RS00615_rc_124615	1656	1414.17	0	0
upaG__HW372_RS00620_rc_130363	5337	5095.17	0	0
HW372_RS00625__HW372_RS00625_rc_131090	684	442.167	0	0
yibL__HW372_RS00630_rc_132011	363	127.074	0	0
yibT__HW372_RS00635_132295	210	41.8125	0	0
mtlR__HW372_RS00640_rc_133102	588	349.321	0	0
mtlD__HW372_RS00645_rc_134250	1149	907.167	0	0
mtlA__HW372_RS00650_rc_136583	1914	1672.17	0	0
yibI__HW372_RS00655_137120	363	127.074	0	0
yibH__HW372_RS00660_137485	1137	895.167	0	0
yibF__HW372_RS00665_138692	609	370.321	0	0
selA__HW372_RS00670_139398	1392	1150.17	0	0
selB__HW372_RS00675_140786	1845	1603.17	0	0
yiaY__HW372_RS00680_142821	1152	910.167	0	0
HW372_RS00685__HW372_RS00685_144102	1296	1054.17	0	0
aldB__HW372_RS00690_145505	1539	1297.17	0	0
araD__HW372_RS00695_rc_147785	696	454.167	0	0
sgbU__HW372_RS00700_rc_148639	861	619.167	0	0
ulaD__HW372_RS00705_rc_149294	663	424.321	0	0
lyxK__HW372_RS00710_rc_150787	1497	1255.17	0	0
yiaO__HW372_RS00715_rc_151777	987	745.167	0	0
yiaN__HW372_RS00720_rc_153067	1278	1036.17	0	0
