target_id	length	eff_length	est_counts	tpm
dnaA__HW372_RS00005_1	1404	1139.66	0	0
dnaN__HW372_RS00010_1409	1101	836.655	0	0
recF__HW372_RS00015_2509	1074	809.655	0	0
gyrB__HW372_RS00020_3611	2415	2150.66	0	0
yidB__HW372_RS00025_6265	399	155.007	0	0
yidA__HW372_RS00030_6778	813	548.655	0	0
HW372_RS00035__HW372_RS00035_8290	657	395.715	0	0
dgoR__HW372_RS00040_8569	690	428.715	0	0
dgoK__HW372_RS00045_9255	879	614.655	0	0
dgoA__HW372_RS00050_10117	618	356.715	0	0
dgoD__HW372_RS00055_10731	1149	884.655	0	0
dgoT__HW372_RS00060_11954	1338	1073.66	0	0
cbrA__HW372_RS00065_14352	1101	836.655	0	0
yidR__HW372_RS00070_14453	1215	950.655	0	0
yidQ__HW372_RS00075_16001	333	96.4444	0	0
ibpA__HW372_RS00080_16307	414	170.007	0	0
ibpB__HW372_RS00085_16832	429	183.674	0	0
yidE__HW372_RS00090_17457	1662	1397.66	0	0
yidL__HW372_RS00095_20074	867	602.655	0	0
yidK__HW372_RS00100_20241	1716	1451.66	0	0
yidJ__HW372_RS00105_21953	1494	1229.66	0	0
yidH__HW372_RS00110_23506	348	109.07	0	0
yidG__HW372_RS00115_23843	363	122.275	0	0
yidF__HW372_RS00120_24202	498	246.935	0	0
emrD__HW372_RS00125_25891	1185	920.655	0	0
ysdE__HW372_RS00130_25973	75	27	0	0
ivbL__HW372_RS00135_26292	99	20	0	0
ilvB__HW372_RS00140_26496	1689	1424.66	0	0
ilvN__HW372_RS00145_28188	291	73.8889	0	0
HW372_RS00150__HW372_RS00150_29529	861	596.655	0	0
uhpA__HW372_RS00155_29944	591	332.182	0	0
uhpB__HW372_RS00160_30534	1503	1238.66	0	0
uhpC__HW372_RS00165_32046	1320	1055.66	0	0
uhpT__HW372_RS00170_33503	1392	1127.66	0	0
adeD__HW372_RS00175_36707	1767	1502.66	0	0
adeQ__HW372_RS00180_36882	1335	1070.66	0	0
yicN__HW372_RS00185_38269	453	203.442	0	0
nepI__HW372_RS00190_38932	1191	926.655	0	0
yicS__HW372_RS00195_40456	294	76.8889	0	0
nlpA__HW372_RS00200_40678	819	554.655	0	0
yicL__HW372_RS00205_42423	924	659.655	0	0
HW372_RS00210__HW372_RS00210_43087	498	246.935	0	0
HW372_RS00215__HW372_RS00215_44155	387	145.235	0	0
HW372_RS00220__HW372_RS00220_45383	606	347.182	0	0
HW372_RS00225__HW372_RS00225_45727	222	52.9302	0	0
HW372_RS00230__HW372_RS00230_46903	1192	927.655	1	1202.84
HW372_RS00235__HW372_RS00235_47349	426	180.674	0	0
HW372_RS00240__HW372_RS00240_47715	336	98.685	0	0
radC__HW372_RS00245_48188	474	222.935	0	0
HW372_RS00250__HW372_RS00250_49032	815	550.655	0	0
HW372_RS00255__HW372_RS00255_50221	954	689.655	0	0
HW372_RS00260__HW372_RS00260_50814	615	353.715	0	0
HW372_RS00265__HW372_RS00265_51546	219	52.4634	0	0
HW372_RS00270__HW372_RS00270_52751	786	521.655	0	0
HW372_RS00275__HW372_RS00275_53776	1014	749.655	0	0
HW372_RS00280__HW372_RS00280_54499	684	422.715	0	0
HW372_RS00285__HW372_RS00285_54953	1101	836.655	0	0
HW372_RS00290__HW372_RS00290_56043	486	234.935	0	0
HW372_RS00295__HW372_RS00295_56531	1827	1562.66	0	0
HW372_RS00300__HW372_RS00300_58396	198	40.2353	0	0
HW372_RS00305__HW372_RS00305_58911	1326	1061.66	0	0
HW372_RS00310__HW372_RS00310_61646	1212	947.655	0	0
HW372_RS00315__HW372_RS00315_62041	95	25	0	0
yicJ__HW372_RS00320_62334	1383	1118.66	0	0
yicI__HW372_RS00325_63726	2319	2054.66	0	0
HW372_RS00330__HW372_RS00330_66327	1554	1289.66	0	0
HW372_RS00335__HW372_RS00335_67907	471	219.935	0	0
HW372_RS00340__HW372_RS00340_68395	315	84.812	0	0
HW372_RS00345__HW372_RS00345_68734	1092	827.655	0	0
HW372_RS00350__HW372_RS00350_69837	852	587.655	0	0
HW372_RS00355__HW372_RS00355_70769	861	596.655	0	0
HW372_RS00360__HW372_RS00360_71677	933	668.655	0	0
HW372_RS00365__HW372_RS00365_72590	681	419.715	0	0
yicH__HW372_RS00370_75023	1710	1445.66	0	0
xanP__HW372_RS00375_76535	1392	1127.66	0	0
gltS__HW372_RS00380_76815	1206	941.655	0	0
recG__HW372_RS00385_80135	2082	1817.66	0	0
trmH__HW372_RS00390_80830	690	428.715	0	0
spoT__HW372_RS00395_82945	2109	1844.66	0	0
rpoZ__HW372_RS00400_83239	276	63.3763	0	0
gmk__HW372_RS00405_83917	624	362.715	0	0
ligB__HW372_RS00410_84175	1683	1418.66	0	0
yicG__HW372_RS00415_86471	618	356.715	0	0
dinD__HW372_RS00420_87587	825	560.655	0	0
yicC__HW372_RS00425_88672	864	599.655	0	0
rph__HW372_RS00430_88799	717	452.655	0	0
pyrE__HW372_RS00435_89581	642	380.715	0	0
slmA__HW372_RS00440_90855	597	338.182	0	0
dut__HW372_RS00445_91420	459	209.442	0	0
coaBC__HW372_RS00450_92618	1221	956.655	0	0
