target_id	length	eff_length	est_counts	tpm
ssrA__ABRP41_RS00760_m00_162518	349	179.571	0	0
ABRP41_RS00005__ABRP41_RS00005_m00_rc_734	566	368.75	0	0
ABRP41_RS00010__ABRP41_RS00010_m00_1227	600	402.75	0	0
mubX__ABRP41_RS00015_m00_1839	702	504.75	0	0
mubY__ABRP41_RS00020_m00_2545	2343	2145.75	0	0
tnpA__ABRP41_RS00025_m00_5138	465	267.75	0	0
ABRP41_RS00030__ABRP41_RS00030_m00_6243	582	384.75	0	0
ABRP41_RS00035__ABRP41_RS00035_m00_rc_7559	383	213.571	0	0
ABRP41_RS00040__ABRP41_RS00040_m00_7647	1161	963.75	0	0
ABRP41_RS00045__ABRP41_RS00045_m00_rc_9755	931	733.75	0	0
mubR__ABRP41_RS00050_m00_rc_10516	576	378.75	0	0
mubX__ABRP41_RS00055_m00_10869	702	504.75	0	0
mubY__ABRP41_RS00060_m00_11575	2343	2145.75	0	0
mubT__ABRP41_RS00065_m00_13910	720	522.75	0	0
mubE__ABRP41_RS00070_m00_14641	1902	1704.75	0	0
mubG__ABRP41_RS00075_m00_16557	1218	1020.75	0	0
mubH__ABRP41_RS00080_m00_17780	3354	3156.75	0	0
mubA__ABRP41_RS00085_m00_21179	8175	7977.75	0	0
mubB__ABRP41_RS00090_m00_29372	3690	3492.75	0	0
mubC__ABRP41_RS00095_m00_33061	4887	4689.75	0	0
mubD__ABRP41_RS00100_m00_38045	4368	4170.75	0	0
mubZ__ABRP41_RS00105_m00_42440	1218	1020.75	0	0
mubM__ABRP41_RS00110_m00_43686	750	552.75	0	0
mubI__ABRP41_RS00115_m00_44464	939	741.75	0	0
mubJ__ABRP41_RS00120_m00_45415	984	786.75	0	0
mubP__ABRP41_RS00125_m00_46426	693	495.75	0	0
ABRP41_RS00130__ABRP41_RS00130_m00_47354	291	121.571	0	0
ABRP41_RS00135__ABRP41_RS00135_m00_47766	1246	1048.75	0	0
ABRP41_RS00140__ABRP41_RS00140_m00_49045	583	385.75	0	0
queG__ABRP41_RS00145_m00_50287	1125	927.75	0	0
prfB__ABRP41_RS00150_m00_51461	72	73	0	0
ftsE__ABRP41_RS00155_m00_52578	693	495.75	0	0
ftsX__ABRP41_RS00160_m00_53263	936	738.75	0	0
ABRP41_RS00165__ABRP41_RS00165_m00_rc_54959	639	441.75	0	0
ABRP41_RS00170__ABRP41_RS00170_m00_55084	765	567.75	0	0
ABRP41_RS00175__ABRP41_RS00175_m00_55992	1179	981.75	0	0
ABRP41_RS00180__ABRP41_RS00180_m00_57312	753	555.75	0	0
