target_id	length	eff_length	est_counts	tpm
ABRP41_RS00010__ABRP41_RS00010_m00_1227	600	332.045	0	0
mubX__ABRP41_RS00015_m00_1839	702	434.045	0	0
mubY__ABRP41_RS00020_m00_2545	2343	2067.93	0	0
tnpA__ABRP41_RS00025/pseudo_m00_5138	465	211.333	0	0
ABRP41_RS00030__ABRP41_RS00030_m00_6243	582	314.045	1	15220.5
ABRP41_RS00040/pseudo__ABRP41_RS00040/pseudo_m00_7647	1161	885.926	0	0
mubX__ABRP41_RS00055_m00_10869	702	434.045	0	0
mubY__ABRP41_RS00060_m00_11575	2343	2067.93	0	0
mubT__ABRP41_RS00065_m00_13910	720	452.045	0	0
mubE__ABRP41_RS00070_m00_14641	1902	1626.93	0	0
mubG__ABRP41_RS00075_m00_16557	1218	942.926	0	0
mubH__ABRP41_RS00080_m00_17780	3354	3078.93	0	0
mubA__ABRP41_RS00085_m00_21179	8175	7899.93	0	0
mubB__ABRP41_RS00090_m00_29372	3690	3414.93	0	0
mubC__ABRP41_RS00095_m00_33061	4887	4611.93	0	0
mubD__ABRP41_RS00100_m00_38045	4368	4092.93	0	0
mubZ__ABRP41_RS00105_m00_42440	1218	942.926	0	0
mubM__ABRP41_RS00110_m00_43686	750	482.045	0	0
mubI__ABRP41_RS00115_m00_44464	939	663.926	0	0
mubJ__ABRP41_RS00120_m00_45415	984	708.926	0	0
mubP__ABRP41_RS00125_m00_46426	693	425.045	0	0
ABRP41_RS00135/pseudo__ABRP41_RS00135/pseudo_m00_47766	1246	970.926	0	0
ABRP41_RS00140/pseudo__ABRP41_RS00140/pseudo_m00_49045	583	315.045	0	0
queG__ABRP41_RS00145_m00_50287	1125	849.926	0	0
prfB__ABRP41_RS00150_m00_51461	1096	820.926	0	0
ftsE__ABRP41_RS00155_m00_52578	693	425.045	0	0
ftsX__ABRP41_RS00160_m00_53263	936	660.926	0	0
ABRP41_RS00170__ABRP41_RS00170_m00_55084	765	489.926	0	0
ABRP41_RS00175__ABRP41_RS00175_m00_55992	1179	903.926	0	0
ABRP41_RS00180__ABRP41_RS00180_m00_57312	753	477.926	0	0
ABRP41_RS00185__ABRP41_RS00185_m00_58629	186	31.9167	0	0
ABRP41_RS00190__ABRP41_RS00190_m00_58820	303	75.4615	0	0
ABRP41_RS00195__ABRP41_RS00195_m00_59160	732	464.045	0	0
ABRP41_RS00200__ABRP41_RS00200_m00_59893	654	386.045	0	0
ABRP41_RS00210__ABRP41_RS00210_m00_61850	2463	2187.93	0	0
ABRP41_RS00215__ABRP41_RS00215_m00_64378	1182	906.926	0	0
asnS__ABRP41_RS00220_m00_65606	1347	1071.93	0	0
ABRP41_RS00225__ABRP41_RS00225_m00_67464	1092	816.926	0	0
ABRP41_RS00230__ABRP41_RS00230_m00_68585	378	140.912	0	0
ABRP41_RS00235__ABRP41_RS00235_m00_69093	759	483.926	0	0
rapZ__ABRP41_RS00240_m00_69844	891	615.926	1	7760.52
ABRP41_RS00245__ABRP41_RS00245_m00_70731	978	702.926	0	0
whiA__ABRP41_RS00250_m00_71705	912	636.926	0	0
ABRP41_RS00255__ABRP41_RS00255_m00_72982	1398	1122.93	0	0
ABRP41_RS00260__ABRP41_RS00260_m00_74606	1521	1245.93	0	0
ABRP41_RS00265__ABRP41_RS00265_m00_76287	756	480.926	0	0
ABRP41_RS00270__ABRP41_RS00270_m00_77096	348	113.304	0	0
ABRP41_RS00275__ABRP41_RS00275_m00_77436	324	94.8113	0	0
add__ABRP41_RS00295_m00_80008	1050	774.926	0	0
ABRP41_RS00300__ABRP41_RS00300_m00_81116	444	193.468	0	0
sufB__ABRP41_RS00305_m00_81719	1383	1107.93	0	0
ABRP41_RS00310__ABRP41_RS00310_m00_83523	678	410.045	0	0
ABRP41_RS00315__ABRP41_RS00315_m00_84246	273	70.5676	0	0
ABRP41_RS00320__ABRP41_RS00320_m00_84508	1221	945.926	0	0
ABRP41_RS00325__ABRP41_RS00325_m00_85814	1221	945.926	0	0
rplS__ABRP41_RS00330_m00_87223	348	113.304	0	0
ABRP41_RS00340__ABRP41_RS00340_m00_88250	1179	903.926	0	0
ABRP41_RS00345__ABRP41_RS00345_m00_89430	660	392.045	0	0
ABRP41_RS00350__ABRP41_RS00350_m00_90169	72	19	0	0
ABRP41_RS00360__ABRP41_RS00360_m00_91056	1119	843.926	0	0
ABRP41_RS00365__ABRP41_RS00365_m00_92381	1227	951.926	0	0
ABRP41_RS00370__ABRP41_RS00370_m00_94038	576	308.045	0	0
gyrB__ABRP41_RS00375_m00_94613	1953	1677.93	0	0
ezrA__ABRP41_RS00380_m00_96661	1725	1449.93	0	0
hisC__ABRP41_RS00390_m00_99559	1050	774.926	0	0
ABRP41_RS00395__ABRP41_RS00395_m00_100605	963	687.926	0	0
hisG__ABRP41_RS00400_m00_101577	648	380.045	0	0
hisD__ABRP41_RS00405_m00_102221	1284	1008.93	0	0
serB__ABRP41_RS00410_m00_103491	648	380.045	0	0
hisB__ABRP41_RS00415_m00_104135	585	317.045	0	0
ABRP41_RS00420__ABRP41_RS00420_m00_104735	354	119.304	0	0
hisH__ABRP41_RS00425_m00_105085	606	338.045	0	0
hisA__ABRP41_RS00430_m00_106130	720	452.045	0	0
hisF__ABRP41_RS00435_m00_106852	756	480.926	0	0
hisI__ABRP41_RS00440_m00_107607	330	97.2727	0	0
ABRP41_RS00445__ABRP41_RS00445_m00_108050	1341	1065.93	1	4484.28
hisE__ABRP41_RS00450_m00_109341	315	87.4615	0	0
ABRP41_RS00455__ABRP41_RS00455_m00_109668	180	35.4444	0	0
ABRP41_RS00470__ABRP41_RS00470_m00_110590	663	395.045	0	0
ABRP41_RS00475__ABRP41_RS00475_m00_111375	672	404.045	1	11830.2
ABRP41_RS00480__ABRP41_RS00480_m00_112039	165	32.1667	0	0
ABRP41_RS00485__ABRP41_RS00485_m00_112414	258	57.3611	0	0
ABRP41_RS00495__ABRP41_RS00495_m00_113399	426	178.574	0	0
ABRP41_RS00500__ABRP41_RS00500_m00_113835	1113	837.926	0	0
ABRP41_RS00510__ABRP41_RS00510_m00_115625	270	67.5676	0	0
ABRP41_RS00515__ABRP41_RS00515_m00_115932	642	374.045	0	0
